barrio,Con muertos,Atropello,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
Suburbano el Tesoro,0.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,4
Suburbano La Cuchilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4
Suburbano La Loma,0.0,31.0,0.0,0.0,20.0,40.0,0.0,0.0,0.0,1.0,1.0,218.0,0.0,0.0,1
Suburbano La Palma-El Patio,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4
Suburbano Mirador del Poblado,0.0,2.0,0.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,4
Suburbano Palma Patio,0.0,2.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,0.0,4
Suburbano Palmitas,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4
Suburbano Pedregal alto,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,4
Suburbano Piedra Gorda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4
Suburbano Potrerito,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4
Suburbano Travesias,0.0,19.0,0.0,0.0,9.0,19.0,0.0,0.0,0.0,0.0,2.0,65.0,0.0,0.0,4
SUBURB El Plan,0.0,6.0,0.0,0.0,1.0,36.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,4
Sucre,3.0,73.0,3.0,3.0,212.0,100.0,1.0,0.0,0.0,0.0,4.0,450.0,0.0,0.0,1
Suramericana,1.0,92.0,8.0,0.0,399.0,142.0,0.0,2.0,0.0,1.0,2.0,1325.0,0.0,0.0,5
Tejelo,1.0,133.0,2.0,0.0,212.0,124.0,0.0,0.0,0.0,0.0,0.0,517.0,0.0,0.0,1
Tenche,2.0,48.0,5.0,0.0,296.0,56.0,2.0,1.0,0.0,1.0,3.0,766.0,0.0,0.0,2
Terminal de Transporte,1.0,173.0,10.0,414.0,208.0,292.0,5.0,66.0,3.0,0.0,16.0,2169.0,0.0,0.0,3
Toscana,8.0,81.0,1.0,0.0,79.0,63.0,8.0,9.0,1.0,0.0,15.0,1091.0,0.0,0.0,2
Travesías,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4
Trece de Noviembre,0.0,30.0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,4
Tricentenario,4.0,55.0,5.0,0.0,63.0,81.0,11.0,1.0,0.0,0.0,4.0,955.0,0.0,0.0,2
Trinidad,2.0,170.0,5.0,0.0,321.0,81.0,0.0,1.0,0.0,0.0,0.0,868.0,0.0,0.0,2
U.D. Atanasio Girardot,0.0,39.0,6.0,1.0,63.0,29.0,0.0,1.0,0.0,0.0,0.0,233.0,0.0,0.0,1
U.P.B.,0.0,5.0,0.0,4.0,23.0,14.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,4
Universidad de Antioquia,3.0,49.0,5.0,2.0,76.0,79.0,8.0,2.0,0.0,0.0,16.0,879.0,0.0,0.0,2
Universidad Nacional,2.0,93.0,7.0,2.0,189.0,106.0,29.0,11.0,5.0,0.0,53.0,1599.0,0.0,0.0,5
Veinte de Julio,1.0,84.0,2.0,0.0,63.0,49.0,0.0,0.0,0.0,0.0,0.0,283.0,0.0,0.0,1
Versalles N°1,0.0,148.0,3.0,0.0,74.0,108.0,0.0,0.0,0.0,0.0,0.0,437.0,0.0,0.0,1
Versalles N°2,0.0,22.0,1.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,4
Villa Carlota,5.0,90.0,7.0,6.0,308.0,212.0,0.0,2.0,1.0,0.0,1.0,2083.0,0.0,0.0,3
Villa del Socorro,0.0,104.0,2.0,0.0,39.0,77.0,0.0,0.0,0.0,0.0,1.0,390.0,0.0,0.0,1
Villa Flora,0.0,57.0,2.0,0.0,143.0,140.0,0.0,0.0,0.0,0.0,0.0,703.0,0.0,0.0,2
Villa Guadalupe,1.0,107.0,2.0,0.0,57.0,75.0,1.0,0.0,0.0,0.0,1.0,325.0,0.0,1.0,1
Villa Hermosa,1.0,126.0,0.0,1.0,176.0,89.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,1
Villa Liliam,2.0,45.0,1.0,0.0,16.0,39.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,4
Villa Lillian,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
Villa Niza,0.0,41.0,0.0,0.0,24.0,28.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,1
Villa Nueva,5.0,471.0,17.0,5.0,910.0,237.0,3.0,28.0,0.0,0.0,0.0,2514.0,1.0,0.0,3
Villatina,0.0,119.0,1.0,1.0,39.0,114.0,0.0,0.0,0.0,0.0,0.0,437.0,0.0,0.0,1
Villa Turbay,0.0,11.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,4
Volcana Guayabal,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4
Yarumalito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4
Yolombo,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,4
