barrio,Con muertos,Atropello,Ciclo Ruta,Glorieta,Interseccion,Lote o Predio,Paso Elevado,Paso Inferior,Paso a Nivel,Pontón,Puente,Tramo de via,Tunel,Via peatonal,cluster
Kennedy,1.0,214.0,3.0,0.0,154.0,157.0,0.0,0.0,0.0,0.0,0.0,727.0,0.0,0.0,2
La Aguacatala,1.0,55.0,11.0,261.0,197.0,138.0,42.0,20.0,5.0,0.0,27.0,1659.0,0.0,2.0,5
La Alpujarra,3.0,89.0,13.0,700.0,148.0,119.0,176.0,44.0,8.0,0.0,55.0,1483.0,1.0,2.0,5
La América,2.0,144.0,2.0,104.0,258.0,103.0,1.0,7.0,0.0,0.0,0.0,971.0,0.0,0.0,2
La Avanzada,0.0,64.0,4.0,0.0,6.0,46.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,1
La Candelaria,7.0,990.0,33.0,3.0,1200.0,329.0,4.0,4.0,3.0,2.0,1.0,4320.0,0.0,3.0,0
La Castellana,0.0,59.0,1.0,32.0,300.0,44.0,0.0,0.0,0.0,0.0,0.0,482.0,0.0,1.0,1
La Colina,1.0,62.0,0.0,4.0,118.0,71.0,2.0,0.0,0.0,0.0,0.0,504.0,0.0,0.0,1
La Cruz,0.0,39.0,1.0,0.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,4
La Esperanza,1.0,167.0,6.0,0.0,176.0,120.0,0.0,0.0,0.0,0.0,0.0,483.0,0.0,0.0,1
La Esperanza No. 2,1.0,63.0,1.0,0.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,1
La Floresta,0.0,81.0,1.0,14.0,268.0,75.0,0.0,0.0,0.0,0.0,1.0,485.0,0.0,0.0,1
La Florida,1.0,46.0,4.0,1.0,177.0,88.0,1.0,0.0,1.0,0.0,2.0,780.0,1.0,0.0,2
La Francia,0.0,80.0,4.0,9.0,37.0,42.0,5.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,1
La Frontera,1.0,52.0,2.0,1.0,21.0,31.0,0.0,0.0,0.0,0.0,0.0,195.0,0.0,0.0,1
La Gloria,0.0,51.0,5.0,19.0,221.0,88.0,1.0,1.0,0.0,0.0,0.0,783.0,0.0,0.0,2
La Hondonada,0.0,11.0,0.0,0.0,25.0,31.0,3.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,1
La Isla,2.0,77.0,1.0,0.0,18.0,29.0,0.0,0.0,0.0,0.0,0.0,178.0,0.0,0.0,1
La Ladera,0.0,7.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,1.0,0.0,58.0,0.0,0.0,4
La Libertad,0.0,78.0,2.0,0.0,33.0,80.0,0.0,0.0,0.0,0.0,0.0,314.0,0.0,0.0,1
Lalinde,0.0,4.0,0.0,2.0,36.0,8.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,4
